,제품코드,제품명,1회 제공량(kcal),포화지방(g),단백질(g),지방(g),트랜스지방(g),나트륨(mg),당류(g),카페인(mg),콜레스테롤(mg),탄수화물(g)
115,9200000006646,유자 배 캐모마일 티,190,0,0,0.2,0,0,33,0,0,52
116,9200000006649,아이스 유자 배 캐모마일 티,130,0,0,0.1,0,0,24,0,0,36
117,9200000006643,아이스 프렌즈 얼 그레이 베리 티 라떼,280,12,4,15,0,60,26,30,15,33
118,9200000006640,프렌즈 얼 그레이 베리 티 라떼,280,12,4,15,0,60,26,30,15,33
119,4004000000056,민트 블렌드 티,0,0,0,0,0,0,0,0,0,0
120,4004000000059,아이스 민트 블렌드 티,0,0,0,0,0,0,0,0,0,0
121,4004000000039,아이스 얼 그레이 티,0,0,0,0,0,0,0,50,0,0
122,9200000000229,아이스 유스베리 티,0,0,0,0,0,0,0,20,0,0
123,9200000002959,아이스 유자 민트 티,95,0,0,0,0,5,22,0,0,26
124,4004000000019,아이스 잉글리쉬 브렉퍼스트 티,0,0,0,0,0,0,0,40,0,0
125,400400000094,아이스 제주 유기농 녹차로 만든 티,0,0,0,0,0,0,0,16,0,0
126,9200000004944,아이스 제주팔삭 & 자몽 허니 블랙 티,140,0,0,0,0,5,38,27,0,38
127,4004000000079,아이스 캐모마일 블렌드 티,0,0,0,0,0,0,0,0,0,0
128,4004000000069,아이스 히비스커스 블렌드 티,0,0,0,0,0,0,0,0,0,0
129,4004000000036,얼 그레이 티,0,0,0,0,0,0,0,70,0,0
130,9200000000226,유스베리 티,0,0,0,0,0,0,0,20,0,0
131,9200000002956,유자 민트 티,140,0,0,0,0,10,33,0,0,40
132,4004000000016,잉글리쉬 브렉퍼스트 티,0,0,0,0,0,0,0,70,0,0
133,9200000000187,자몽 허니 블랙 티,125,0,0,0,0,5,30,70,0,31
134,400400000091,제주 유기농 녹차로 만든 티,0,0,0,0,0,0,0,16,0,0
135,9200000004943,제주팔삭 & 자몽 허니 블랙 티,140,0,0,0,0,5,38,70,0,38
